human,humanLabel,parliamentary_term,parliamentary_termLabel,sex_or_gender,sex_or_genderLabel,date_of_birth,funkcja,funkcjaLabel,partia_polityczna,partia_politycznaLabel
http://www.wikidata.org/entity/Q2547317,Walther Ludewig,,,http://www.wikidata.org/entity/Q6581097,male,1923-03-13T00:00:00Z,http://www.wikidata.org/entity/Q30185,mayor,http://www.wikidata.org/entity/Q13124,Free Democratic Party
http://www.wikidata.org/entity/Q2547317,Walther Ludewig,,,http://www.wikidata.org/entity/Q6581097,male,1923-03-13T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q13124,Free Democratic Party
http://www.wikidata.org/entity/Q2163528,Rolf Koschorrek,,,http://www.wikidata.org/entity/Q6581097,male,1956-06-17T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2163574,Rolf Köhne,,,http://www.wikidata.org/entity/Q6581097,male,1951-11-21T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q152554,The Left Party.PDS
http://www.wikidata.org/entity/Q2163627,Rolf Meinecke,,,http://www.wikidata.org/entity/Q6581097,male,1917-12-04T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2163627,Rolf Meinecke,,,http://www.wikidata.org/entity/Q6581097,male,1917-12-04T00:00:00Z,http://www.wikidata.org/entity/Q19360355,Member of the Hamburg Bürgerschaft,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2163668,Rolf Mützenich,,,http://www.wikidata.org/entity/Q6581097,male,1959-06-25T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2163677,Rolf Niese,,,http://www.wikidata.org/entity/Q6581097,male,1943-08-21T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2163677,Rolf Niese,,,http://www.wikidata.org/entity/Q6581097,male,1943-08-21T00:00:00Z,http://www.wikidata.org/entity/Q19360355,Member of the Hamburg Bürgerschaft,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2163694,Rolf Olderog,,,http://www.wikidata.org/entity/Q6581097,male,1937-12-29T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2163694,Rolf Olderog,,,http://www.wikidata.org/entity/Q6581097,male,1937-12-29T00:00:00Z,http://www.wikidata.org/entity/Q18130496,Member of the Landtag of Schleswig-Holstein,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2163828,Rolf Stöckel,,,http://www.wikidata.org/entity/Q6581097,male,1957-06-07T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2166833,Rosel Neuhäuser,,,http://www.wikidata.org/entity/Q6581072,female,1949-04-06T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49750,Socialist Unity Party of Germany
http://www.wikidata.org/entity/Q2166833,Rosel Neuhäuser,,,http://www.wikidata.org/entity/Q6581072,female,1949-04-06T00:00:00Z,http://www.wikidata.org/entity/Q18557729,member of the Volkskammer,http://www.wikidata.org/entity/Q49750,Socialist Unity Party of Germany
